OTU	Domain	Supergroup	Phylum	Class	Order	Family	Genus	Species	MDBC01_rep	MDBC03_rep	MDBC04_rep	MDBC05_rep	MDBC06_rep	MDBC09_rep	MDBC11_rep	MDBC18_rep	MDBC21_rep	MDBC28_rep	MDBC29_rep	MDBC30_rep	MDBC32_rep	MDBC33_rep	MDBC34_rep	MDBC35_rep	MDBC36_rep	MDBC37_rep	MDBC38_rep	MDBC42_rep	MDBC44_rep	MDBC45_rep	MDBC46_rep	
620	Eukaryota	SAR	Oomycota	Oomycetes	Lagenidiales	Lagenidiaceae	Salilagenidium	Salilagenidium thermophilum	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
621	Eukaryota	SAR	Oomycota	Oomycetes	Saprolegniales	Olpidiaceae	Olpidiopsis	Olpidiopsis pyropiae	0	0	1	0	0	0	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
622	Eukaryota	SAR	Oomycota	Oomycetes	Saprolegniales	Olpidiaceae	Olpidiopsis		0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
623	Eukaryota	SAR	Oomycota	Oomycetes	Pythiales	Pythiaceae	Pythium		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
624	Eukaryota	SAR	Oomycota	Oomycetes				uncultured eukaryote	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
625	Eukaryota	SAR	Oomycota	Oomycetes				uncultured	0	0	10	3	0	1	154	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
626	Eukaryota	SAR	Bigyra	Placidiophyceae	Placidiales	Placidiaceae	Placidia	Placidia cafeteriopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	2	1	5	
627	Eukaryota	SAR	Bigyra	Placidiophyceae	Placidiales	Placidiaceae		Stramenopile sp. ME5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
628	Eukaryota	SAR	Stramenopiles	(Stramenopiles)				uncultured eukaryote	0	0	0	0	1	6	3	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	
629	Eukaryota	SAR	Stramenopiles	(Stramenopiles)				uncultured	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
630	Eukaryota	(Eukaryota)	(Eukaryota)	(Eukaryota)				uncultured marine eukaryote	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
7	Eukaryota	Amorphea	Amoebozoa	Cavosteliida	Cavosteliida	Cavosteliidae	Tychosporium	Tychosporium acutostipes		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
